"_id__$oid","title","parentId","scope","isProject","project__createdDate","project__endDate","project__startDate","project__status","project__ownerIds__$oid","project__authorId__$oid","user__$oid","__v"
"5a5886b7a27c2103ff73f074","Root","","WsRoot","False","","","","","","","","0"
"5a5886c8a27c2103ff73f075","1 Main Street","5a5886b7a27c2103ff73f074","WsFolder","True","2018-01-12T09:58","2018-01-12T09:58","2018-01-12T09:58","Green","59f77e492e7ceb2b6021e195","59f77e492e7ceb2b6021e195","59f77e492e7ceb2b6021e195","0"
"5a5886c8a27c2103ff73f076","Phase 1: v1 Discovery","5a5886c8a27c2103ff73f075","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5886c8a27c2103ff73f077","Phase2: v1 Alpha (Technical Testing)","5a5886c8a27c2103ff73f075","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5886c8a27c2103ff73f078","Phase3: v1 Beta(Internal Release & Testing)","5a5886c8a27c2103ff73f075","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5886c8a27c2103ff73f079","AlphaSetup","5a5886c8a27c2103ff73f077","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5886c8a27c2103ff73f07a","UIConfig","5a5886c8a27c2103ff73f077","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5886c8a27c2103ff73f07b","Security","5a5886c8a27c2103ff73f077","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5886c8a27c2103ff73f07c","F&B","5a5886c8a27c2103ff73f077","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5886c8a27c2103ff73f07d","Breadcrumb(AsApplicable)","5a5886c8a27c2103ff73f077","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5886c8a27c2103ff73f07e","Facilities","5a5886c8a27c2103ff73f077","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5886c8a27c2103ff73f07f","Events","5a5886c8a27c2103ff73f077","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5886c8a27c2103ff73f080","Comms","5a5886c8a27c2103ff73f077","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5886c8a27c2103ff73f081","Concierge","5a5886c8a27c2103ff73f077","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5886c8a27c2103ff73f082","Alpha Testing & Feedback","5a5886c8a27c2103ff73f077","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5886c8a27c2103ff73f083","Feature Targets (questionnaire)","5a5886c8a27c2103ff73f076","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5886c8a27c2103ff73f084","UI Custom Config","5a5886c8a27c2103ff73f076","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5886c8a27c2103ff73f085","Security Environment Assessment","5a5886c8a27c2103ff73f076","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5886c8a27c2103ff73f086","F&B Environment Assessment","5a5886c8a27c2103ff73f076","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5886c8a27c2103ff73f087","Facilities Booking Environment Assessment","5a5886c8a27c2103ff73f076","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5886c8a27c2103ff73f088","Event Environment Assessment","5a5886c8a27c2103ff73f076","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5886c8a27c2103ff73f089","CommsNeedAssessment","5a5886c8a27c2103ff73f076","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5886c8a27c2103ff73f08a","ConciergeNeedsAssessment","5a5886c8a27c2103ff73f076","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5886c8a27c2103ff73f090","Alpha Update to Beta(Setup)","5a5886c8a27c2103ff73f078","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5886c8a27c2103ff73f091","BetaTesting&Feedback","5a5886c8a27c2103ff73f078","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5886c8a27c2103ff73f092","BetaUpdatetoRelease","5a5886c8a27c2103ff73f078","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5886c8a27c2103ff73f09c","HID","5a5886c8a27c2103ff73f07b","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5886c8a27c2103ff73f09d","WALTZ","5a5886c8a27c2103ff73f07b","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5886c8a27c2103ff73f09e","OTHER","5a5886c8a27c2103ff73f07b","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5886c8a27c2103ff73f0ca","Security","5a5886c8a27c2103ff73f090","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5886c8a27c2103ff73f0cb","F&B","5a5886c8a27c2103ff73f090","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5886c8a27c2103ff73f0cc","Facilities","5a5886c8a27c2103ff73f090","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5886c8a27c2103ff73f0cd","Events","5a5886c8a27c2103ff73f090","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5886c8a27c2103ff73f0ce","Comms","5a5886c8a27c2103ff73f090","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5886c8a27c2103ff73f0cf","Concierge","5a5886c8a27c2103ff73f090","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5886c8a27c2103ff73f0d7","Access Hardware Environment","5a5886c8a27c2103ff73f085","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5886c8a27c2103ff73f0d8","ACS Platform","5a5886c8a27c2103ff73f085","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5886c8a27c2103ff73f0d9","VMS System","5a5886c8a27c2103ff73f085","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5886c8a27c2103ff73f0de","Breadcrumb(AsApplicable)","5a5886c8a27c2103ff73f0cb","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5886c8a27c2103ff73f0e6","HID","5a5886c8a27c2103ff73f0ca","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5886c8a27c2103ff73f0e7","WALTZ","5a5886c8a27c2103ff73f0ca","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5886c8a27c2103ff73f0e8","OTHER","5a5886c8a27c2103ff73f0ca","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a592e48bbb18f06e9457d48","asher test building","5a5886b7a27c2103ff73f074","WsFolder","True","2018-01-12T21:53","2018-01-12T21:53","2018-01-12T21:53","Green","59f77e492e7ceb2b6021e195","59f77e492e7ceb2b6021e195","59f77e492e7ceb2b6021e195","0"
"5a592e48bbb18f06e9457d49","Phase 1: v1 Discovery","5a592e48bbb18f06e9457d48","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a592e48bbb18f06e9457d4a","Phase2: v1 Alpha (Technical Testing)","5a592e48bbb18f06e9457d48","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a592e48bbb18f06e9457d4b","Phase3: v1 Beta(Internal Release & Testing)","5a592e48bbb18f06e9457d48","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a592e48bbb18f06e9457d4c","Alpha Update to Beta(Setup)","5a592e48bbb18f06e9457d4b","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a592e48bbb18f06e9457d4d","BetaTesting&Feedback","5a592e48bbb18f06e9457d4b","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a592e48bbb18f06e9457d4e","BetaUpdatetoRelease","5a592e48bbb18f06e9457d4b","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a592e48bbb18f06e9457d4f","Feature Targets (questionnaire)","5a592e48bbb18f06e9457d49","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a592e48bbb18f06e9457d50","UI Custom Config","5a592e48bbb18f06e9457d49","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a592e48bbb18f06e9457d51","Security Environment Assessment","5a592e48bbb18f06e9457d49","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a592e48bbb18f06e9457d52","F&B Environment Assessment","5a592e48bbb18f06e9457d49","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a592e48bbb18f06e9457d53","Facilities Booking Environment Assessment","5a592e48bbb18f06e9457d49","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a592e48bbb18f06e9457d54","Event Environment Assessment","5a592e48bbb18f06e9457d49","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a592e48bbb18f06e9457d55","CommsNeedAssessment","5a592e48bbb18f06e9457d49","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a592e48bbb18f06e9457d56","ConciergeNeedsAssessment","5a592e48bbb18f06e9457d49","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a592e48bbb18f06e9457d57","AlphaSetup","5a592e48bbb18f06e9457d4a","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a592e48bbb18f06e9457d58","UIConfig","5a592e48bbb18f06e9457d4a","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a592e48bbb18f06e9457d59","Security","5a592e48bbb18f06e9457d4a","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a592e48bbb18f06e9457d5a","F&B","5a592e48bbb18f06e9457d4a","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a592e48bbb18f06e9457d5b","Breadcrumb(AsApplicable)","5a592e48bbb18f06e9457d4a","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a592e48bbb18f06e9457d5c","Facilities","5a592e48bbb18f06e9457d4a","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a592e48bbb18f06e9457d5d","Events","5a592e48bbb18f06e9457d4a","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a592e48bbb18f06e9457d5e","Comms","5a592e48bbb18f06e9457d4a","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a592e48bbb18f06e9457d5f","Concierge","5a592e48bbb18f06e9457d4a","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a592e48bbb18f06e9457d60","Alpha Testing & Feedback","5a592e48bbb18f06e9457d4a","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a592e48bbb18f06e9457d61","Security","5a592e48bbb18f06e9457d4c","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a592e48bbb18f06e9457d62","F&B","5a592e48bbb18f06e9457d4c","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a592e48bbb18f06e9457d63","Facilities","5a592e48bbb18f06e9457d4c","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a592e48bbb18f06e9457d64","Events","5a592e48bbb18f06e9457d4c","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a592e48bbb18f06e9457d65","Comms","5a592e48bbb18f06e9457d4c","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a592e48bbb18f06e9457d66","Concierge","5a592e48bbb18f06e9457d4c","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a592e48bbb18f06e9457d7b","HID","5a592e48bbb18f06e9457d59","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a592e48bbb18f06e9457d7c","WALTZ","5a592e48bbb18f06e9457d59","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a592e48bbb18f06e9457d7d","OTHER","5a592e48bbb18f06e9457d59","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a592e48bbb18f06e9457d80","Access Hardware Environment","5a592e48bbb18f06e9457d51","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a592e48bbb18f06e9457d81","ACS Platform","5a592e48bbb18f06e9457d51","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a592e48bbb18f06e9457d82","VMS System","5a592e48bbb18f06e9457d51","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a592e48bbb18f06e9457d95","HID","5a592e48bbb18f06e9457d61","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a592e48bbb18f06e9457d96","WALTZ","5a592e48bbb18f06e9457d61","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a592e48bbb18f06e9457d97","OTHER","5a592e48bbb18f06e9457d61","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a592e48bbb18f06e9457da5","Breadcrumb(AsApplicable)","5a592e48bbb18f06e9457d62","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5ab7f109fe982af6b114cb","My Test Building","5a5886b7a27c2103ff73f074","WsFolder","True","2018-01-14T01:52","2018-01-14T01:52","2018-01-14T01:52","Green","59f77e492e7ceb2b6021e195","59f77e492e7ceb2b6021e195","59f77e492e7ceb2b6021e195","0"
"5a5ab7f109fe982af6b114cc","Phase 1: v1 Discovery","5a5ab7f109fe982af6b114cb","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5ab7f109fe982af6b114cd","Phase2: v1 Alpha (Technical Testing)","5a5ab7f109fe982af6b114cb","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5ab7f109fe982af6b114ce","Phase3: v1 Beta(Internal Release & Testing)","5a5ab7f109fe982af6b114cb","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5ab7f209fe982af6b114cf","AlphaSetup","5a5ab7f109fe982af6b114cd","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5ab7f209fe982af6b114d0","UIConfig","5a5ab7f109fe982af6b114cd","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5ab7f209fe982af6b114d1","Security","5a5ab7f109fe982af6b114cd","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5ab7f209fe982af6b114d2","F&B","5a5ab7f109fe982af6b114cd","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5ab7f209fe982af6b114d3","Breadcrumb(AsApplicable)","5a5ab7f109fe982af6b114cd","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5ab7f209fe982af6b114d4","Facilities","5a5ab7f109fe982af6b114cd","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5ab7f209fe982af6b114d5","Events","5a5ab7f109fe982af6b114cd","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5ab7f209fe982af6b114d6","Comms","5a5ab7f109fe982af6b114cd","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5ab7f209fe982af6b114d7","Concierge","5a5ab7f109fe982af6b114cd","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5ab7f209fe982af6b114d8","Alpha Testing & Feedback","5a5ab7f109fe982af6b114cd","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5ab7f209fe982af6b114d9","Feature Targets (questionnaire)","5a5ab7f109fe982af6b114cc","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5ab7f209fe982af6b114da","UI Custom Config","5a5ab7f109fe982af6b114cc","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5ab7f209fe982af6b114db","Security Environment Assessment","5a5ab7f109fe982af6b114cc","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5ab7f209fe982af6b114dc","F&B Environment Assessment","5a5ab7f109fe982af6b114cc","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5ab7f209fe982af6b114dd","Facilities Booking Environment Assessment","5a5ab7f109fe982af6b114cc","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5ab7f209fe982af6b114de","Event Environment Assessment","5a5ab7f109fe982af6b114cc","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5ab7f209fe982af6b114df","CommsNeedAssessment","5a5ab7f109fe982af6b114cc","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5ab7f209fe982af6b114e0","ConciergeNeedsAssessment","5a5ab7f109fe982af6b114cc","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5ab7f209fe982af6b114e1","Alpha Update to Beta(Setup)","5a5ab7f109fe982af6b114ce","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5ab7f209fe982af6b114e2","BetaTesting&Feedback","5a5ab7f109fe982af6b114ce","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5ab7f209fe982af6b114e3","BetaUpdatetoRelease","5a5ab7f109fe982af6b114ce","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5ab7f209fe982af6b114f1","HID","5a5ab7f209fe982af6b114d1","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5ab7f209fe982af6b114f2","WALTZ","5a5ab7f209fe982af6b114d1","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5ab7f209fe982af6b114f3","OTHER","5a5ab7f209fe982af6b114d1","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5ab7f209fe982af6b11502","Security","5a5ab7f209fe982af6b114e1","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5ab7f209fe982af6b11503","F&B","5a5ab7f209fe982af6b114e1","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5ab7f209fe982af6b11504","Facilities","5a5ab7f209fe982af6b114e1","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5ab7f209fe982af6b11505","Events","5a5ab7f209fe982af6b114e1","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5ab7f209fe982af6b11506","Comms","5a5ab7f209fe982af6b114e1","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5ab7f209fe982af6b11507","Concierge","5a5ab7f209fe982af6b114e1","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5ab7f209fe982af6b1150f","HID","5a5ab7f209fe982af6b11502","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5ab7f209fe982af6b11510","WALTZ","5a5ab7f209fe982af6b11502","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5ab7f209fe982af6b11511","OTHER","5a5ab7f209fe982af6b11502","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5ab7f209fe982af6b1151d","Access Hardware Environment","5a5ab7f209fe982af6b114db","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5ab7f209fe982af6b1151e","ACS Platform","5a5ab7f209fe982af6b114db","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5ab7f209fe982af6b1151f","VMS System","5a5ab7f209fe982af6b114db","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
"5a5ab7f209fe982af6b11523","Breadcrumb(AsApplicable)","5a5ab7f209fe982af6b11503","WsFolder","False","","","","","","","59f77e492e7ceb2b6021e195","0"
